Laufnummer;Kategorie Bezeichnung;Wochentag;Übertretungs-Wochentagnummer;Übertretungs-Wochentag;Übertretungsmonat;Übertretungsjahr;Geschwindigkeitslimite;Übertretungs-PLZ;Übertretungsort;Bussenbetrag;Bussenziffer;Bussenziffer Zusatz;Bussenziffer Text
1761051;Personenwagen;6 Freitag;6;Freitag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1763333;Personenwagen;3 Dienstag;3;Dienstag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1763338;Personenwagen;3 Dienstag;3;Dienstag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1765239;Personenwagen;7 Samstag;7;Samstag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1765241;Personenwagen;7 Samstag;7;Samstag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1767024;Personenwagen;4 Mittwoch;4;Mittwoch;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1767027;Personenwagen;4 Mittwoch;4;Mittwoch;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1767031;Personenwagen;4 Mittwoch;4;Mittwoch;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1768178;Personenwagen;6 Freitag;6;Freitag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1752661;Personenwagen;6 Freitag;6;Freitag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1752668;Personenwagen;6 Freitag;6;Freitag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1754755;Personenwagen;3 Dienstag;3;Dienstag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1755773;Personenwagen;4 Mittwoch;4;Mittwoch;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1755774;Personenwagen;4 Mittwoch;4;Mittwoch;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1756424;Personenwagen;5 Donnerstag;5;Donnerstag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1757226;Personenwagen;6 Freitag;6;Freitag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1757231;Personenwagen;6 Freitag;6;Freitag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1757235;Personenwagen;6 Freitag;6;Freitag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1770512;Personenwagen;3 Dienstag;3;Dienstag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1771611;Personenwagen;5 Donnerstag;5;Donnerstag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1771613;Personenwagen;5 Donnerstag;5;Donnerstag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1771616;Personenwagen;5 Donnerstag;5;Donnerstag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1772109;Personenwagen;6 Freitag;6;Freitag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1772525;Personenwagen;7 Samstag;7;Samstag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1775999;Personenwagen;7 Samstag;7;Samstag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1777236;Personenwagen;4 Mittwoch;4;Mittwoch;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1777237;Personenwagen;4 Mittwoch;4;Mittwoch;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1777907;Personenwagen;5 Donnerstag;5;Donnerstag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1777911;Personenwagen;5 Donnerstag;5;Donnerstag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1778544;Personenwagen;6 Freitag;6;Freitag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1778548;Personenwagen;6 Freitag;6;Freitag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1779337;Personenwagen;7 Samstag;7;Samstag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1780378;Personenwagen;2 Montag;2;Montag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1780893;Personenwagen;3 Dienstag;3;Dienstag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1783384;Personenwagen;7 Samstag;7;Samstag;3;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1785181;Personenwagen;4 Mittwoch;4;Mittwoch;3;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1787398;Personenwagen;3 Dienstag;3;Dienstag;3;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1790656;Personenwagen;4 Mittwoch;4;Mittwoch;3;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1793879;Personenwagen;2 Montag;2;Montag;3;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1789715;Personenwagen;2 Montag;2;Montag;3;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1761046;Personenwagen;6 Freitag;6;Freitag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1761055;Personenwagen;6 Freitag;6;Freitag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1761752;Personenwagen;7 Samstag;7;Samstag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1764426;Personenwagen;5 Donnerstag;5;Donnerstag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1767021;Personenwagen;4 Mittwoch;4;Mittwoch;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1767607;Personenwagen;5 Donnerstag;5;Donnerstag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1767610;Personenwagen;5 Donnerstag;5;Donnerstag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1768179;Personenwagen;6 Freitag;6;Freitag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1768684;Personenwagen;7 Samstag;7;Samstag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1770344;Personenwagen;3 Dienstag;3;Dienstag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1774978;Personenwagen;5 Donnerstag;5;Donnerstag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1775996;Personenwagen;7 Samstag;7;Samstag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1775997;Personenwagen;7 Samstag;7;Samstag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1778543;Personenwagen;6 Freitag;6;Freitag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1778547;Personenwagen;6 Freitag;6;Freitag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1779346;Personenwagen;7 Samstag;7;Samstag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1779347;Personenwagen;7 Samstag;7;Samstag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1779351;Personenwagen;7 Samstag;7;Samstag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1753230;Personenwagen;7 Samstag;7;Samstag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1754120;Personenwagen;2 Montag;2;Montag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1754129;Personenwagen;2 Montag;2;Montag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1754130;Personenwagen;2 Montag;2;Montag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1754131;Personenwagen;2 Montag;2;Montag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1755771;Personenwagen;4 Mittwoch;4;Mittwoch;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1755776;Personenwagen;4 Mittwoch;4;Mittwoch;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1757233;Personenwagen;6 Freitag;6;Freitag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1759936;Personenwagen;4 Mittwoch;4;Mittwoch;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1782205;Personenwagen;5 Donnerstag;5;Donnerstag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1783392;Personenwagen;7 Samstag;7;Samstag;3;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1784657;Personenwagen;3 Dienstag;3;Dienstag;3;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1785182;Personenwagen;4 Mittwoch;4;Mittwoch;3;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1785187;Personenwagen;4 Mittwoch;4;Mittwoch;3;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1785732;Personenwagen;5 Donnerstag;5;Donnerstag;3;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1785733;Personenwagen;5 Donnerstag;5;Donnerstag;3;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1790233;Personenwagen;3 Dienstag;3;Dienstag;3;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1793368;Personenwagen;5 Donnerstag;5;Donnerstag;3;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1788281;Personenwagen;6 Freitag;6;Freitag;3;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1789718;Personenwagen;2 Montag;2;Montag;3;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1787399;Personenwagen;3 Dienstag;3;Dienstag;3;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1788733;Personenwagen;7 Samstag;7;Samstag;3;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1789714;Personenwagen;2 Montag;2;Montag;3;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1770518;Personenwagen;3 Dienstag;3;Dienstag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1770986;Personenwagen;4 Mittwoch;4;Mittwoch;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1772105;Personenwagen;6 Freitag;6;Freitag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1772107;Personenwagen;6 Freitag;6;Freitag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1772110;Personenwagen;6 Freitag;6;Freitag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1773430;Personenwagen;2 Montag;2;Montag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1773872;Personenwagen;3 Dienstag;3;Dienstag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1774334;Personenwagen;4 Mittwoch;4;Mittwoch;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1777908;Personenwagen;5 Donnerstag;5;Donnerstag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1778550;Personenwagen;6 Freitag;6;Freitag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1779342;Personenwagen;7 Samstag;7;Samstag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1779349;Personenwagen;7 Samstag;7;Samstag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1761756;Personenwagen;7 Samstag;7;Samstag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1761757;Personenwagen;7 Samstag;7;Samstag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1763904;Personenwagen;4 Mittwoch;4;Mittwoch;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1764425;Personenwagen;5 Donnerstag;5;Donnerstag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1764835;Personenwagen;6 Freitag;6;Freitag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1766459;Personenwagen;3 Dienstag;3;Dienstag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1767032;Personenwagen;4 Mittwoch;4;Mittwoch;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1768683;Personenwagen;7 Samstag;7;Samstag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1769695;Personenwagen;2 Montag;2;Montag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1769696;Personenwagen;2 Montag;2;Montag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1752669;Personenwagen;6 Freitag;6;Freitag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1754118;Personenwagen;2 Montag;2;Montag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1755775;Personenwagen;4 Mittwoch;4;Mittwoch;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1756423;Personenwagen;5 Donnerstag;5;Donnerstag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1757230;Personenwagen;6 Freitag;6;Freitag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1757232;Personenwagen;6 Freitag;6;Freitag;1;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1780380;Personenwagen;2 Montag;2;Montag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1782771;Personenwagen;6 Freitag;6;Freitag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1782772;Personenwagen;6 Freitag;6;Freitag;2;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1783388;Personenwagen;7 Samstag;7;Samstag;3;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1791129;Personenwagen;5 Donnerstag;5;Donnerstag;3;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1792001;Personenwagen;7 Samstag;7;Samstag;3;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1792003;Personenwagen;7 Samstag;7;Samstag;3;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1792006;Personenwagen;7 Samstag;7;Samstag;3;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1792672;Personenwagen;2 Montag;2;Montag;3;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1793101;Personenwagen;4 Mittwoch;4;Mittwoch;3;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1793102;Personenwagen;4 Mittwoch;4;Mittwoch;3;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
1793697;Personenwagen;7 Samstag;7;Samstag;3;2025;;4125;Riehen;40;202.1;;Nicht oder nicht gut sichtbares Anbringen der Parkscheibe am Fahrzeug
